,Date Of Upload,Author,Vertical,Headline,Description
162,"August 01, 2015 00:00 IST",Sathish G.T.,Karnataka,Shiradi Ghat stretch to be thrown open in a couple of days,"Earlier, officials had said it would be opened for four-wheelers on August 1"
163,"March 29, 2016 12:30 IST",MINI ANTHIKAD CHHIBBER,Karnataka,Recreating the 80s innocence,The world is under attack from aliens who misinterpret the games as a challenge to war.
164,"August 01, 2015 00:00 IST",Ganesh Prabhu,Karnataka,Stray dog issue dominates meet,Civic body to make registration of pet dogs compulsory
165,"August 01, 2015 00:00 IST",Staff Correspondent,Karnataka,Farmer threatens to end life,No Description
166,"August 01, 2015 00:00 IST",Kumar Buradikatti,Karnataka,HKDSS activists stage unique protest against Anna Bhagya unit system,No Description
167,"August 01, 2015 00:00 IST",Staff Correspondent,Karnataka,‘No fresh cases of diarrhoea reported from B.G. Hatti’,No Description
168,"August 01, 2015 00:00 IST",Staff Correspondent,Karnataka,Federation seeks interest waiver,No Description
169,"August 01, 2015 00:00 IST",M.T. Shivakumar,Karnataka,Cane crushing season begins,PSSK to crush 4 lakh tonnes of sugarcane
170,"August 01, 2015 00:00 IST",Correspondent,Karnataka,10-day film festival from today,No Description
171,"August 01, 2015 00:00 IST",Kumar Buradikatti,Karnataka,"Temple demolition: activists detained, released in Raichur",They opposed razing templesfor road-widening
172,"August 01, 2015 00:00 IST",T.V. Sivanandan,Karnataka,Article 371(J): samiti to launch agitation,No Description
173,"August 01, 2015 00:00 IST",Karnataka Bureau,Karnataka,Six killed in road accidents,No Description
174,"August 01, 2015 00:00 IST",H.S. Narasimha Kumar,Karnataka,Families of three dead farmers sanctioned compensation,No Description
175,"August 01, 2015 00:00 IST",Shankar Bennur,Karnataka,MLC miffed at Mysore varsity,No Description
176,"August 01, 2015 00:00 IST",H.S. Narasimha Kumar,Karnataka,Panel rejects compensation to farmer’s kin,No Description
177,"August 01, 2015 00:00 IST",Laiqh A. Khan,Karnataka,Inter-State gang of three held on burglary charge,No Description
178,"March 29, 2016 12:26 IST",R. Krishna Kumar,Karnataka,NDRF drill for honing skills to rescue victims of train accident,No Description
179,"August 01, 2015 00:00 IST",R. Krishna Kumar,Karnataka,Evolving cohesive plan to address disasters: official,No Description
180,"August 01, 2015 00:00 IST",Staff Correspondent,Karnataka,Five held on chain-snatching charge,No Description
181,"August 01, 2015 00:00 IST",taff Correspondent,Karnataka,Farmer ends life in Hassan,No Description
182,"August 01, 2015 00:00 IST",Staff Correspondent,Karnataka,Krishik Samaj launches farmers’ awareness rally,‘Objective is to instil confidence among them’
183,"August 01, 2015 00:00 IST",Sathish G.T.,Karnataka,It may soon be closed again,No Description
184,"August 01, 2015 00:00 IST",Staff Correspondent,Karnataka,Programmes on Nalwadi Krishnaraja Wadiyar,No Description
185,"August 01, 2015 00:00 IST",Shankar Bennur,Karnataka,Civic works taken up ahead of Pranab’s visit to be benchmark for Dasara: Mayor,Roads on which President’s motorcade passed were repaired and re-asphalted
186,"August 01, 2015 00:00 IST",Shankar Bennur,Karnataka,Ornate lamps add to heritage glory of city,No Description
187,"August 01, 2015 00:00 IST",Shankar Bennur,Karnataka,Mysuru sees spurt in sale of Kalam’s books,No Description
188,"August 01, 2015 00:00 IST",Karnataka Bureau,Karnataka,Six more farmers commit suicide in State,No Description
189,"August 01, 2015 00:00 IST",Pradeepkumar Kadkol,Karnataka,‘Install electronic weighing machines’,No Description
190,"August 01, 2015 00:00 IST",Vijaykumar Patil,Karnataka,JD(S) seeks independent ministry for sugar sector,No Description
191,"August 01, 2015 00:00 IST",Special Correspondent,Karnataka,Selected for volleyball championship,No Description
192,"March 29, 2016 12:26 IST",Vijaykumar Patil,Karnataka,"Godowns sealed, sugar stocks worth Rs. 900 crore seized",Sugar mills continue to show reluctance to pay dues
193,"August 01, 2015 00:00 IST",Vijaykumar Patil,Karnataka,Hapless father tries to end life,No Description
194,"August 01, 2015 00:00 IST",Vijaykumar Patil,Karnataka,Action sought against BEO,No Description
195,"March 29, 2016 12:22 IST",ARCHANA NATHAN,Karnataka,Testing your patience with the ludicrous,No Description
